GERMINA;TRATA
55;ASNA
55;ASNA
53;ASNA
57;ASNA
39;KNA
34;KNA
36;KNA
31;KNA
66;ACSULF
67;ACSULF
64;ACSULF
65;ACSULF
35;REMOJO
45;REMOJO
37;REMOJO
38;REMOJO
55;ESCARLIJ
47;ESCARLIJ
55;ESCARLIJ
60;ESCARLIJ
50;TESTIGO
35;TESTIGO
42;TESTIGO
44;TESTIGO
